date,temp_avg,temp_sd,day_of_year,year,mean_temp
2021-01-08,7.484629862649101,0.2407803262997453,8,2021,7.484629862649101
2021-01-16,7.532354954310826,0.0981208020843808,16,2021,7.532354954310826
2021-01-24,7.223775890895299,0.09530200136382833,24,2021,7.223775890895299
2021-02-09,7.251653026132023,0.06574132044524893,40,2021,7.251653026132023
2021-02-17,6.333893067496163,0.18564275325962667,48,2021,6.333893067496163
2021-02-25,6.619079065322876,0.2147620528352113,56,2021,6.619079065322876
2021-03-05,7.317890470678156,0.2840857801814575,64,2021,7.317890470678156
2021-03-13,7.0289646061983975,0.41146689556865895,72,2021,7.0289646061983975
2021-03-21,7.929643673055312,0.052043898981339654,80,2021,7.929643673055312
2021-03-29,8.313762131859274,0.15433808607568608,88,2021,8.313762131859274
2021-04-06,8.44547981374404,0.1118401144445721,96,2021,8.44547981374404
2021-04-14,8.986384016094785,0.12870564705222917,104,2021,8.986384016094785
2021-04-22,12.46704017754757,0.17468345318186504,112,2021,12.46704017754757
2021-04-30,13.36252821645429,0.4857906771988572,120,2021,13.36252821645429
2021-05-08,12.408046982505105,0.2592055078743729,128,2021,12.408046982505105
2021-05-16,14.149650770075182,0.17598458235207123,136,2021,14.149650770075182
2021-05-24,14.205726421240604,0.2099451219692001,144,2021,14.205726421240604
2021-06-01,15.940818266435103,0.7356996866721471,152,2021,15.940818266435103
2021-06-09,15.687887847423553,0.953619500053953,160,2021,15.687887847423553
2021-06-17,17.296817410376764,0.37830922071916895,168,2021,17.296817410376764
2021-06-25,19.058613574866094,0.20445833011668668,176,2021,19.058613574866094
2021-07-03,21.140504837036133,0.9475886803152093,184,2021,21.140504837036133
2021-07-11,20.410121050747957,0.19257439694312864,192,2021,20.410121050747957
2021-07-19,20.92146821455522,0.10924649769317829,200,2021,20.92146821455522
2021-07-27,21.07373757795854,0.44834199760604304,208,2021,21.07373757795854
2021-08-04,22.056935686053652,0.2045212238657238,216,2021,22.056935686053652
2021-08-12,20.24111193995322,0.14314916301208075,224,2021,20.24111193995322
2021-08-20,19.60406835151441,0.23085840164762886,232,2021,19.60406835151441
2021-08-28,18.16480116410689,0.16128273287552097,240,2021,18.16480116410689
2021-09-05,17.395851482044566,0.11473540998048984,248,2021,17.395851482044566
2021-09-13,16.29969934983687,0.8279633789704611,256,2021,16.29969934983687
2021-09-21,14.98205364111698,0.38489633622910907,264,2021,14.98205364111698
2021-09-29,13.997797561414314,0.239878913736743,272,2021,13.997797561414314
2021-10-07,12.679452462629838,0.24380980500548316,280,2021,12.679452462629838
2021-10-15,12.203421115875244,0.183330907833294,288,2021,12.203421115875244
2021-10-23,10.04583555279356,0.5813612487405779,296,2021,10.04583555279356
2021-10-31,10.343830188115438,0.12977101824143936,304,2021,10.343830188115438
2021-11-08,9.124732746797449,0.09734734697257538,312,2021,9.124732746797449
2021-11-16,9.130919989417581,0.12580181650017358,320,2021,9.130919989417581
2021-11-24,8.746315157091296,0.3145071835818914,328,2021,8.746315157091296
2021-12-02,8.620020754197064,0.06079482675758302,336,2021,8.620020754197064
2021-12-10,7.661120134241441,0.21929293196497757,344,2021,7.661120134241441
2021-12-18,8.177892797133502,0.3169649130016493,352,2021,8.177892797133502
