date,temp_avg,temp_sd,day_of_year,year
2010-01-16,7.951252017702375,0.22502598703383592,16,2010
2010-01-24,6.604224436210863,0.6780840322203272,24,2010
2010-02-01,7.055335640907288,0.2888438865965665,32,2010
2010-02-09,7.242256121201948,0.12469510182267747,40,2010
2010-02-17,7.804523005630031,0.06231245112649807,48,2010
2010-02-25,7.213545238270479,0.1552203348549931,56,2010
2010-03-05,8.081794608723033,0.08880405583429926,64,2010
2010-03-13,7.8310958918403175,0.1468272328688566,72,2010
2010-03-21,7.990668189141058,0.08945522773009605,80,2010
2010-03-29,6.773339766043204,0.20073979291317567,88,2010
2010-04-06,8.559173670682041,0.1996614385492713,96,2010
2010-04-14,8.542220867041385,0.3434497775147265,104,2010
2010-04-22,10.084478808987525,0.21180464509461996,112,2010
2010-04-30,10.360354731159825,0.20146947513470392,120,2010
2010-05-08,11.366854523167465,0.3295370894270139,128,2010
2010-05-16,13.380291678688742,0.575017824393968,136,2010
2010-05-24,10.38685469193892,0.5717436566548902,144,2010
2010-06-09,13.611135186820194,0.2018094266813235,160,2010
2010-06-17,15.330078356193773,0.3361434024952185,168,2010
2010-06-25,15.319573893691555,0.5700018861438086,176,2010
2010-07-03,16.77489864464962,0.3259043381624498,184,2010
2010-07-11,17.995865966334488,0.3953220896731438,192,2010
2010-07-19,17.869379794958867,0.35569138155602825,200,2010
2010-07-27,18.04884910583496,0.23005787712147105,208,2010
2010-08-04,18.543846823952414,0.12186114049368058,216,2010
2010-08-12,18.929088031544406,0.32253554596087275,224,2010
2010-08-20,19.99879519144694,0.16427186494174031,232,2010
2010-08-28,18.876604773781516,0.19021526965203428,240,2010
2010-09-05,15.842399627931657,0.5762326125307179,248,2010
2010-09-13,14.996760252750281,0.2286808619331171,256,2010
2010-09-21,14.773818276145242,0.14122759329980716,264,2010
2010-09-29,13.844816583575625,0.42232623879287234,272,2010
2010-10-07,14.278201681194883,0.11078325322719118,280,2010
2010-10-15,12.48213706297033,0.16534620088370972,288,2010
2010-10-23,11.841550883124857,0.10537489910066357,296,2010
2010-10-31,10.179064598083496,0.25496899907100185,304,2010
2010-11-08,10.698079136439732,0.126413992435289,312,2010
2010-11-16,9.953925363945238,0.11495660313913565,320,2010
2010-11-24,7.772296950930641,0.39747172601229636,328,2010
2010-12-02,8.709374543392297,0.08149272879774924,336,2010
2010-12-10,7.783006147904829,0.5072687463245433,344,2010
2010-12-18,7.694751611122718,0.34657129575892237,352,2010
2010-12-26,7.213355541229248,0.3601918996541978,360,2010
2010-12-31,7.18611562613285,0.10294894836925005,365,2010
2011-01-08,6.299095266005573,0.13764092244523027,8,2011
2011-01-16,6.319859012480705,0.2878020383516334,16,2011
2011-01-24,3.761711009343465,0.6470329688463353,24,2011
2011-02-01,6.41037995285458,0.10773781075405962,32,2011
2011-02-09,6.750488974831321,0.0746219155882676,40,2011
2011-02-17,4.924627987543742,0.11873116148136646,48,2011
2011-02-25,6.563377298627581,0.17087960949344166,56,2011
2011-03-05,7.617220078745196,0.35764920773320114,64,2011
2011-03-13,6.50985928737756,0.29517279629800025,72,2011
2011-03-21,6.585311869780223,0.16742544061277842,80,2011
2011-04-06,8.020377766002309,0.05778222304781235,96,2011
2011-04-14,7.911018880208333,0.06857382859949152,104,2011
2011-04-22,8.714286919796105,0.28577992984753187,112,2011
2011-04-30,9.446383620753434,0.1493560598075705,120,2011
2011-05-08,9.859341008322579,0.07793224057798964,128,2011
2011-05-16,8.5281130472819,0.3487415148354801,136,2011
2011-05-24,12.143012769294508,0.2643115981624369,144,2011
2011-06-01,14.271254626187412,0.49866915119769767,152,2011
2011-06-09,15.294996174899014,0.3282268603529556,160,2011
2011-06-17,15.625408374901975,0.24395872476182906,168,2011
2011-06-25,15.963283284505208,0.5313908147230691,176,2011
2011-07-03,16.781753193248402,0.22108025994123995,184,2011
2011-07-11,18.765486919518672,0.25476352694545346,192,2011
2011-07-19,17.182321003505162,0.19229647462597532,200,2011
2011-07-27,17.827946550705853,0.2901753629705612,208,2011
2011-08-04,19.350400577891957,0.32704235693858974,216,2011
2011-08-12,19.1220225165872,0.14365321347275148,224,2011
2011-08-20,19.485754706642844,0.21210340993731397,232,2011
2011-08-28,18.813075441302676,0.28427940451473804,240,2011
2011-09-05,17.618417739868164,0.18939957533172547,248,2011
2011-09-13,18.11932575341427,0.08171479764493769,256,2011
2011-09-21,14.24143452114529,0.9365691453155206,264,2011
2011-09-29,13.216394568934586,1.0362524020579122,272,2011
2011-10-07,12.416574535947857,0.08573612322817219,280,2011
2011-10-15,11.59035189492362,0.22846516511292067,288,2011
2011-10-23,11.492290742935673,0.19460753131762312,296,2011
2011-10-31,10.603451238359725,0.23139484672606533,304,2011
2011-11-08,9.260030381819782,0.10257758355622858,312,2011
2011-11-16,8.883306421552385,0.15928093916411634,320,2011
2011-11-24,7.737807694603415,0.2759314953171613,328,2011
2011-12-02,7.966127196947734,0.17860647459477508,336,2011
2011-12-10,7.638043231434292,0.11563371321318243,344,2011
2011-12-18,6.32557684580485,0.23593771422836204,352,2011
2011-12-26,7.136823981148856,0.13144774447074903,360,2011
2012-01-08,7.24422568433425,0.26883655101729265,8,2012
2012-01-16,7.115762190385298,0.1484852697710762,16,2012
2012-02-01,6.908694839477539,0.35090089194120966,32,2012
2012-02-09,6.125886457937735,0.3418159715816204,40,2012
2012-02-17,6.819308858929259,0.4605916394273054,48,2012
2012-02-25,6.883705139160156,0.19139516966759346,56,2012
2012-03-04,6.256287882404942,0.490985713596806,64,2012
