Date,Time,Bucket_ID,Cuke_ID,Activity_score,Droop_score,Squeeze_score,Number_lesions,Bodywall lesions,
10-11-2021,10:45,19,B,NA,2,1,NA,NA,
10-11-2021,10:45,20,A,NA,2,2,NA,NA,
10-11-2021,10:45,20,B,NA,2,2,NA,NA,
10-11-2021,10:45,21,A,NA,2,2,NA,NA,
10-11-2021,10:45,21,B,NA,2,2,NA,NA,
10-11-2021,10:45,22,A,NA,2,2,NA,NA,
10-11-2021,10:45,22,B,NA,2,2,NA,NA,
10-11-2021,10:45,23,A,NA,2,1,NA,NA,
10-11-2021,10:45,23,B,NA,2,2,NA,NA,
10-11-2021,10:45,24,A,NA,2,2,NA,NA,
10-11-2021,10:45,24,B,NA,2,2,NA,NA,
10-11-2021,10:45,25,A,NA,2,2,NA,NA,
10-11-2021,10:45,25,B,NA,2,2,NA,NA,
10-11-2021,10:45,26,A,NA,2,2,NA,NA,
10-11-2021,10:45,26,B,NA,2,1,NA,NA,
10-11-2021,10:45,27,A,NA,2,2,NA,NA,
10-11-2021,10:45,28,A,NA,1,1,NA,NA,
10-11-2021,10:45,29,A,NA,2,2,NA,NA,
10-11-2021,10:45,30,A,NA,1,2,NA,NA,
11-11-2021,09:40,1,A,NA,2,2,NA,NA,
11-11-2021,09:40,1,B,NA,2,2,NA,NA,
11-11-2021,09:40,2,A,NA,2,2,NA,NA,
11-11-2021,09:40,2,B,NA,2,2,NA,NA,
11-11-2021,09:40,3,A,NA,2,2,NA,NA,
11-11-2021,09:40,3,B,NA,2,2,NA,NA,
11-11-2021,09:40,4,A,NA,2,2,NA,NA,
11-11-2021,09:40,4,B,NA,2,2,NA,NA,
11-11-2021,09:40,5,A,NA,2,2,NA,NA,
11-11-2021,09:40,5,B,NA,2,2,NA,NA,
11-11-2021,09:40,6,A,NA,2,2,NA,NA,
11-11-2021,09:40,6,B,NA,1,1,NA,NA,
11-11-2021,09:40,7,A,NA,0,0,NA,NA,
11-11-2021,09:40,7,B,NA,1,1,NA,NA,
11-11-2021,09:40,8,A,NA,1,1,NA,NA,
11-11-2021,09:40,8,B,NA,2,1,NA,NA,
