day_of_year,sd,mean_temp
8,0.902759078094464,6.91687328337854
16,0.6409682885297447,7.013188068695829
24,1.2464857749869016,6.856116173540243
32,0.4418827592083552,7.054380446504315
40,0.4662714810584923,6.945528364860751
48,1.000249543072045,7.017503693310895
56,0.656767005166173,7.0969718236609936
64,0.6990387037505816,7.295673757095303
72,0.875768487952858,7.244327534724486
80,0.7093167623767206,7.867633693538533
88,0.8142275296020415,8.113569274956129
96,1.3387529143614785,9.131803558328931
104,1.2202314898500861,9.42841439297609
112,1.3920371974432455,10.639697441390073
120,0.8579079595087785,10.81106359050547
128,1.1763852857274004,12.03291033989626
136,2.2296209070328445,13.69011806006175
144,2.037363345250699,14.211885615750269
152,1.4048512532136024,15.864905278332584
160,1.5130251133820691,15.80267945806404
168,1.273951886796538,16.169475622735618
176,0.884251879395182,16.750157681803973
184,1.6332212240066537,17.93125381843916
192,1.0658156772261205,18.395540926194368
200,0.9975597457112098,18.860613302657725
208,0.8966333205033691,19.109884221969033
216,1.0462111740873972,19.68163686454673
224,1.0544822378474872,19.578415357743953
232,0.7440568590112333,19.162299765364246
240,0.7364697037145173,18.572622551869348
248,1.2630322257936217,17.303081298969825
256,1.3216377935795678,17.260245806018002
264,1.1297499071852253,15.291405043322257
272,0.6601767728064086,14.313858676818294
280,1.0687625395241824,13.697306955392733
288,0.8513547515732707,12.639691891425427
296,0.7547984989693513,11.451549015342957
304,0.635169364653873,10.904634877835335
312,0.690856777320293,10.218174730486469
320,0.6426924101537854,9.813696137341038
328,0.7299997356410172,8.953498932243845
336,0.37536928220523863,8.517732062782736
344,0.4859246920809345,7.950358850895896
352,0.8037901046936534,7.571535025677294
360,0.6393109565978606,7.664882428850502
365,0.48794568768777624,7.267497855889134
366,0.7408047892044685,7.053563393068592
